project_id,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence
The Big -P.01-UP-20-April-26,Unforeseeable physical conditions,Clause 4.12 / 20.1,Unexpected physical conditions may support entitlement if properly notified and proven.,"Site difficulty alone is not enough. Contractor must show unforeseeability, impact, and compliance with notice rules.",Shared,Immediate notice before disturbing evidence where possible.,Possible cost if conditions qualify.,Possible EOT if critical path affected.,"Preserve photos, survey, test reports, expert opinion, and baseline assumptions."
The Big -P.01-UP-20-April-26,Utilities and existing services,Clause 4.19 / Appendix exclusions,"Utilities relocation/protection is excluded from price, but Contractor must manage site utilities obligations carefully.","Utility events can be claimable if outside scope, but damage or poor protection can become Contractor liability.",Shared,Notify conflict/damage immediately and follow variation/claim procedure.,Potential extra for instructed protection/relocation; liability if Contractor damages utilities.,Potential EOT if utility issue blocks critical work and not Contractor fault.,"Keep utility drawings, trial pit records, permits, photos, and incident reports."
The Big -P.01-UP-20-April-26,Employer equipment and free-issue materials,Clause 4.20 / Appendix,"Employer-supplied items, especially steel as part of advance, depend on approved programme and requisition process.","A steel delay claim needs proof that Contractor requested correctly, was ready to use it, and the delay hit critical path.",Shared,"Notice immediately if free issue material is late, defective, or short.",May affect payment/advance and possible prolongation.,Possible EOT if critical and not Contractor-caused.,"Keep approved programme, requisitions, delivery notes, stock records, and activity impacts."
The Big -P.01-UP-20-April-26,Progress reports,Clause 4.21 / General Requirements,"Daily, weekly, and monthly reports must include progress, delay analysis, programme update, logs, photos, procurement, submittals, quality, and pending issues.","Reports are not paperwork only. They become the project record for delay, payment, and claim proof.",Employer if missing,Monthly claim/variation account must be separate and up to date.,Weak reports weaken IPCs and claims.,Weak reports weaken delay analysis.,"Submit complete reports and reconcile them with notices, programme updates, and IPCs."
The Big -P.01-UP-20-April-26,Shop drawings and as-builts,Clause 4.25 / General Requirements,"Contractor must submit shop drawings, as-built drawings, and source files where required.","Late or incomplete drawings can stop approvals, inspections, and taking-over.",Employer,Follow submittal timing and resubmission period.,Rework/correction generally Contractor cost.,Can become Contractor delay if on critical path.,"Maintain drawing register, revision history, approvals, and transmittals."
The Big -P.01-UP-20-April-26,Quality assurance system,Clause 4.26 / General Requirements,"If Contractor fails to submit or obtain approval of QMS, Employer/RFP quality plan may be deemed final.",Contractor loses control over the quality framework if its own plan is late or rejected.,Employer,QMS details due early after commencement.,Noncompliance can lead to rejected work and withheld approvals.,Rejected IRs/NCRs can delay progress and taking-over.,"Submit QMS, QC manager approval, ITPs, NCR logs, and corrective action records."
The Big -P.01-UP-20-April-26,HSE system,Clause 6.7 / General Requirements,"If Contractor fails to submit or approve HSE plan, Employer/RFP safety plan may govern.",Safety noncompliance can stop work and still remain Contractor risk.,Employer,Submit HSE plan and incident reports on time.,Stop-work or corrective measures may be Contractor cost.,Safety stoppages can delay works without EOT if Contractor fault.,"Keep HSE plan, inductions, toolbox talks, PPE logs, accident reports, and close-outs."
The Big -P.01-UP-20-April-26,Personnel approval,Clause 6.9,Key Contractor personnel require approval and compliance with contract requirements.,Changing or lacking approved staff can be treated as management noncompliance and used against progress claims.,Employer,Notify changes and obtain approvals.,May affect payment/certification indirectly.,Weak staffing undermines EOT defenses.,"Keep CV approvals, org chart, attendance, and replacement approvals."
The Big -P.01-UP-20-April-26,Programme requirements,Clause 8.3 / General Requirements,"Programme must be P6, resource/cost/cash loaded, with narratives, long lead items, free issue materials, and other contractors' milestones.","A simple bar chart is not enough. Without a compliant baseline/update, delay claims become much harder to prove.",Employer,Programme submission and monthly update deadlines matter.,"IPC, cash flow, and delay claims depend on programme quality.",Critical path proof depends on accepted logic.,"Keep baseline, updates, narratives, calendars, resources, cash flow, and change logs."
The Big -P.01-UP-20-April-26,Recovery plan trigger,General Requirements / Clause 8.6,"If delay reaches 10 percent of remaining calendar days or at least 45 days, Contractor must submit recovery plan within 28 days.",The contract creates an early warning and acceleration pressure mechanism before final delay damages.,Employer,Recovery plan due within 28 days after update showing delay.,Recovery may be Contractor cost if delay is Contractor risk.,Failure worsens delay exposure.,"Submit recovery plan with manpower, shifts, resequencing, procurement, and float recovery."
The Big -P.01-UP-20-April-26,Extension of time,Clause 8.4 / 20.1,EOT is available only for qualifying events and compliant claims.,"Even a real Employer-caused delay can be lost if notice, particulars, monthly updates, or critical path proof are missing.",Shared,Strict claim notice and monthly account requirements.,Prolongation cost depends on entitlement and concurrency rules.,EOT protects against delay damages if proven.,"Maintain delay event register, notices, particulars, updates, and delay analysis."
The Big -P.01-UP-20-April-26,Rate of progress,Clause 8.6,"If progress is too slow, Contractor may be required to revise methods or accelerate.","If the delay is Contractor-caused, recovery is usually at Contractor cost.",Employer,Respond quickly to slow-progress notices.,Additional resources may not be payable.,Recovery obligations can change sequence and productivity.,Keep productivity records and separate Contractor delay from Employer delay.
The Big -P.01-UP-20-April-26,Suspension by Employer,Clause 8.11,Engineer/Employer may instruct suspension under contract conditions.,"Suspension can be entitlement-bearing if not Contractor fault, but must be documented precisely.",Shared,Notice/claim immediately after suspension instruction and resumption.,Possible cost if compensable under contract.,Possible EOT if critical path affected.,"Keep suspension instruction, affected resources, idle plant/labour, and restart records."
The Big -P.01-UP-20-April-26,Tests on completion and failed tests,Clause 9.4,Failure to pass tests can trigger remedial obligations and retesting.,Testing failure usually shifts time/cost risk back to Contractor unless caused by Employer design/instruction.,Employer,Notify cause if failure not Contractor fault.,Retesting/remedial cost likely Contractor risk.,Failed tests delay taking-over.,"Keep test plans, results, calibration, causes, corrective works, and retest approvals."
The Big -P.01-UP-20-April-26,Taking-over requirements,Clause 10 / General Requirements,"Taking-over requires substantial completion and conditions such as no rejected IRs, no open NCRs, clear site limits, debris removal, and safe access.","Physical completion is not enough. Paperwork, NCRs, housekeeping, and safe access can block TOC and retention release.",Employer,Apply for TOC only with supporting close-out evidence.,Retention release and final payment depend on TOC.,Delay damages risk continues until TOC/completion accepted.,"Prepare TOC dossier, NCR closeout, as-builts, test certificates, and site clearance evidence."
The Big -P.01-UP-20-April-26,Defects Notification Period,Clause 11,DNP is 365 days and Contractor must remedy defects.,The project is not commercially finished at TOC. Defects affect final retention and final certificate.,Employer,Respond to defect notices promptly.,Unremedied defects may be deducted or completed by others.,Defects can delay final release.,"Maintain defect register, response dates, repair records, and Engineer acceptance."
